# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun 24 01:32:12 2021
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN plntransdep:    Transit Depth [percentage]
# COLUMN plntransdeperr1: Transit Depth Upper Unc. [percentage]
# COLUMN plntransdeperr2: Transit Depth Lower Unc. [percentage]
# COLUMN plntransdeplim: Transit Depth Limit Flag
# COLUMN plnradj:        Planet Radius [Jupiter radii]
# COLUMN plnradjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN plnradjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN plnradjlim:     Planet Radius Limit Flag
# COLUMN plnratror:      Ratio of Planet to Stellar Radius
# COLUMN plnratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN plnratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN plnratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN plntranmid:     Transit Mid-Point [BJD]
# COLUMN plntranmiderr1: Transit Mid-Point Upper Unc. [BJD]
# COLUMN plntranmiderr2: Transit Mid-Point Lower Unc. [BJD]
# COLUMN plntranmidlim:  Transit Mid-Point Limit Flag
# COLUMN plntranreflink: Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnradj,plnradjerr1,plnradjerr2,plnradjlim,plnratror,plnratrorerr1,plnratrorerr2,plnratrorlim,plntranmid,plntranmiderr1,plntranmiderr2,plntranmidlim,plntranreflink,facility,instrument
WASP-12 b,0.3350,0.0900,,,,,,,,,0.12135,0.00087,-0.00087,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,0.4050,0.0500,,,,,,,,,0.12000,0.00025,-0.00025,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,0.5020,0.0440,,,,,,,,,0.12022,0.00031,-0.00031,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,0.5470,0.0460,,,,,,,,,0.12067,0.00035,-0.00035,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,0.5550,0.0500,,,,,,,,,0.11973,0.00057,-0.00057,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,0.6050,0.0500,,,,,,,,,0.12012,0.00059,-0.00059,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,0.6550,0.0500,,,,,,,,,0.12033,0.00051,-0.00051,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,0.7050,0.0500,,,,,,,,,0.11925,0.00076,-0.00076,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,0.7600,0.0600,,,,,,,,,0.11951,0.00051,-0.00051,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,0.8200,0.0600,,,,,,,,,0.11947,0.00078,-0.00078,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,0.9400,0.1800,,,,,,,,,0.11967,0.00082,-0.00082,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,1.1630,0.0520,,,,,,,,,0.11975,0.00051,-0.00051,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,1.2150,0.0520,,,,,,,,,0.11902,0.00085,-0.00085,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,1.2670,0.0520,,,,,,,,,0.11912,0.00050,-0.00050,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,1.3190,0.0520,,,,,,,,,0.11829,0.00050,-0.00050,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,1.3710,0.0520,,,,,,,,,0.11977,0.00052,-0.00052,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,1.4230,0.0520,,,,,,,,,0.11913,0.00053,-0.00053,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,1.4750,0.0520,,,,,,,,,0.11926,0.00052,-0.00052,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,1.5270,0.0520,,,,,,,,,0.11989,0.00061,-0.00061,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,1.5790,0.0520,,,,,,,,,0.11849,0.00066,-0.00066,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
WASP-12 b,1.6310,0.0520,,,,,,,,,0.11830,0.00065,-0.00065,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
